Revisit,Number_of_attacks,Committed_defenders,Play,Flow,Successful,Shot_type,Points,Time,Opponent,Half
*,1,0,Set,Halfcourt,Yes,Open layup,2,12:46,Hartford,2
*,1,1,Set,Halfcourt,No,Contested 3,0,12:16,Hartford,2
,0,1,Transition,Transition,Yes,Open 3,3,11:19,Hartford,2
,1,1,Zone,Halfcourt/zone,Yes,Semi-contested 3,0,10:21,Hartford,2
,1,0,Zone,Halfcourt/zone,No,Turnover,0,9:49,Hartford,2
,0,0,Zone,Halfcourt/zone,Yes,Semi-contested 3,3,9:17,Hartford,2
,0,0,Base,Halfcourt,No,Turnover,0,8:48,Hartford,2
,1,0,Base,Halfcourt,Yes,Semi-contested layup,2,8:21,Hartford,2
,1,1,Base,Halfcourt,Yes,Foul,1,7:41,Hartford,2
,1,1,Set,Halfcourt,Yes,Semi-contested 3,0,7:00,Hartford,2
,1,0,Base,Halfcourt,Yes,Foul,2,6:30,Hartford,2
,0,0,Set,Halfcourt,Yes,Contested 2,2,5:41,Hartford,2
,0,0,Set,Halfcourt,Yes,Foul,2,4:50,Hartford,2
,1,0,Base,Halfcourt,Yes,Foul,2,4:05,Hartford,2
,1,0,Set,Halfcourt,No,Turnover,0,3:27,Hartford,2
,1,0,Base,Halfcourt,Yes,Semi-contested layup,3,3:07,Hartford,2
,1,0,Set,Halfcourt,No,Turnover,0,2:15,Hartford,2
,1,0,Base,Halfcourt,Yes,Foul,1,1:32,Hartford,2
,0,0,Zone,Halfcourt/zone,No,Turnover,0,:55,Hartford,2
